STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
1582.5,39.4986496,-93.3375473,-0.546,-0.53,
1585,39.4986496,-93.3375168,-0.538,-0.53,
1587.5,39.498642,-93.3374863,-0.546,-0.532,
1590,39.4986382,-93.3374481,-0.541,-0.527,
1592.5,39.498642,-93.3374176,-0.513,-0.501,
1595,39.4986496,-93.3373718,-0.514,-0.507,
1597.5,39.4986458,-93.3373337,-0.534,-0.521,
1600,39.4986572,-93.3373108,-0.547,-0.522,
1602.5,39.4986534,-93.3372574,-0.52,-0.51,
1605,39.498642,-93.337204,-0.501,-0.495,
1607.5,39.4986343,-93.3371735,-0.505,-0.498,
1610,39.4986305,-93.3371582,-0.511,-0.497,
1612.5,39.4986305,-93.3371353,-0.514,-0.493,
1615,39.4986343,-93.3371048,-0.494,-0.495,
1617.5,39.4986305,-93.3370743,-0.503,-0.484,
1620,39.4986114,-93.3370361,-0.505,-0.473,
1622.5,39.4985962,-93.336998,-0.504,-0.485,
1625,39.4985886,-93.3369446,-0.53,-0.511,
1627.5,39.4985809,-93.3369141,-0.507,-0.482,
1630,39.4985809,-93.3368835,-0.539,-0.51,
1632.5,39.4985809,-93.3368454,-0.489,-0.48,
1635,39.4985771,-93.3368301,-0.513,-0.497,
1637.5,39.4985733,-93.3368073,-0.535,-0.519,
1640,39.4985657,-93.3367538,-0.533,-0.512,
1642.5,39.4985619,-93.3367615,-0.516,-0.482,
1645,39.498558,-93.336731,-0.521,-0.516,
1647.5,39.4985542,-93.3367081,-0.541,-0.534,
1650,39.4985466,-93.3366699,-0.502,-0.493,
1652.5,39.498539,-93.3366165,-0.508,-0.492,
1655,39.4985352,-93.3366013,-0.515,-0.488,
1657.5,39.4985237,-93.3365784,-0.464,-0.458,
1660,39.4985161,-93.3365555,-0.464,-0.474,
1662.5,39.4985237,-93.3365478,-0.466,-0.448,
1665,39.4985275,-93.3365173,-0.433,-0.421,
1667.5,39.4985275,-93.3364944,-0.466,-0.459,
1670,39.4985237,-93.3364792,-0.486,-0.48,
1672.5,39.4985123,-93.3364563,-0.508,-0.501,
1675,39.4985046,-93.3364334,-0.499,-0.498,
1677.5,39.4985084,-93.3364029,-0.498,-0.496,
1680,39.4985084,-93.3363876,-0.456,-0.45,
1682.5,39.4985084,-93.3363724,-0.504,-0.491,
1685,39.4985123,-93.3363419,-0.465,-0.456,
1687.5,39.4985008,-93.3363113,-0.49,-0.471,
1690,39.4984932,-93.3362884,-0.497,-0.486,
1692.5,39.4984894,-93.3362732,-0.522,-0.505,
1695,39.4984894,-93.3362427,-0.501,-0.459,
1697.5,39.4984894,-93.3362122,-0.48,-0.468,
1700,39.4984856,-93.3361893,-0.479,-0.468,
1702.5,39.4984818,-93.3361664,-0.484,-0.479,
1705,39.4984703,-93.3361359,-0.47,-0.456,
1707.5,39.4984741,-93.3361054,-0.494,-0.474,
1710,39.4984665,-93.3360825,-0.481,-0.464,
1712.5,39.4984627,-93.3360519,-0.502,-0.494,
1715,39.4984627,-93.3360214,-0.53,-0.503,
1717.5,39.4984627,-93.3359909,-0.491,-0.48,
1720,39.498455,-93.3359604,-0.477,-0.462,
1722.5,39.4984474,-93.3359299,-0.495,-0.483,
1725,39.4984512,-93.3358994,-0.496,-0.484,
1727.5,39.4984512,-93.3358688,-0.485,-0.471,
1730,39.4984436,-93.3358307,-0.491,-0.483,
1732.5,39.498436,-93.3358078,-0.487,-0.485,
1735,39.4984322,-93.3357696,-0.477,-0.48,
1737.5,39.4984245,-93.3357391,-0.545,-0.51,
1740,39.4984169,-93.3357239,-0.494,-0.475,
1742.5,39.4984131,-93.3356934,-0.5,-0.497,3'
1745,39.4984131,-93.3356628,-0.491,-0.486,
1747.5,39.4984093,-93.33564,-0.496,-0.487,
1750,39.4984016,-93.3356094,-0.506,-0.49,
1752.5,39.4984055,-93.3355789,-0.485,-0.484,
1755,39.4984016,-93.3355484,-0.516,-0.508,
1757.5,39.4984016,-93.3355179,-0.501,-0.495,
1760,39.4983978,-93.3354874,-0.517,-0.51,
1762.5,39.4983788,-93.3354797,-0.521,-0.501,
